category,file,rows,n_unique_patient_id,columns,missing_pct
lab_tests,PLT 11.csv,918346,67005.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,PLT 22.csv,437504,70573.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,PT 11.csv,313931,101605.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,RBC 11.csv,244407,13230.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,RBC 22.csv,1000000,101019.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,RBC 33.csv,81654,23260.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,RBS 11.csv,148623,58672.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,TRIG 1 D.csv,368967,114361.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,TRIG 2 D.csv,98665,50906.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,TROPONIN 11.csv,291778,85320.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
